Pixels,GPU+CPU6+Mem12,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
102400,0.0960,0.1597,0.1594,0.1539,0.2542,0.6222
204800,0.1284,0.1779,0.2013,0.1992,0.2895,0.6779
409600,0.1930,0.2430,0.2670,0.2744,0.3564,0.6977
614400,0.2591,0.3149,0.3122,0.3098,0.3869,0.8642
921600,0.3514,0.4088,0.4049,0.4382,0.5796,0.9287
1228800,0.4452,0.5066,0.5097,0.5244,0.7058,1.0111
1638400,0.5714,0.6329,0.6230,0.6686,0.7351,1.0666
2048000,0.6996,0.7579,0.7943,0.8094,0.8806,1.2719
2560000,0.8783,0.9388,0.9492,0.9548,1.0605,1.4193
3072000,1.0448,1.1162,1.1304,1.1369,1.1959,1.6405
