Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.0295,0.0268,0.0241,0.0172,0.0551,0.0581
2016,0.0404,0.0397,0.0674,0.1595,0.295,0.5919
4512,0.0408,0.1176,0.1981,0.2245,0.4116,0.8053
8064,0.0461,0.1281,0.2167,0.3889,0.6719,1.1001
12560,0.0599,0.1783,0.3728,0.4782,0.5068,1.5866
18144,0.0744,0.1935,0.4043,0.5275,0.9073,1.5983
24640,0.0772,0.2365,0.5083,0.6967,1.182,2.0107
31877,0.0965,0.3067,0.6612,0.8765,1.209,2.6892
40752,0.111,0.4983,0.6977,0.9953,1.3968,2.9896
49926,0.1167,0.569,0.7306,1.1917,1.7874,3.7004
60550,0.1279,0.6901,0.9727,1.195,1.9997,4.097
72576,0.1596,0.6955,0.9943,1.5029,2.2977,4.7932
85072,0.1668,0.7157,1.3,1.6818,2.5869,5.7005
98784,0.185,1.071,1.5116,1.9892,2.9914,6.7024
113280,0.2177,1.0994,1.596,2.0139,3.2863,7.3845
128265,0.2579,1.2896,1.6739,2.3828,3.7184,7.9791
145520,0.2737,1.3991,1.9885,2.4788,4.172,9.2887
163296,0.2921,1.5653,2.0798,2.8824,4.6819,10.0101
181792,0.3172,1.6934,2.5965,3.2919,5.3844,10.9739
201600,0.3691,1.7902,2.8873,3.6862,5.4905,12.5931
