Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.0316,0.0434,0.0757,0.0717,0.1657,0.2802
2016,0.0359,0.0519,0.1189,0.2993,0.4066,0.7941
4512,0.0397,0.1121,0.3008,0.4017,0.603,1.2982
8064,0.0531,0.2695,0.4936,0.6119,0.9013,1.7093
12560,0.0572,0.3139,0.5062,0.7711,1.184,2.3897
18144,0.0669,0.388,0.768,0.806,1.2989,2.603
24640,0.0802,0.4141,0.7986,1.0103,1.5895,3.3987
31877,0.0916,0.6008,0.9075,1.2014,1.8973,3.9924
40752,0.1049,0.8641,1.1916,1.2743,2.3003,4.6984
49926,0.1144,0.9111,1.2917,1.616,2.3988,5.5952
60550,0.1377,1.0921,1.4994,2.081,3.0986,6.5927
72576,0.1413,1.2246,1.6996,2.1999,3.5818,7.7935
85072,0.1685,1.5607,2.0772,2.6962,4.1003,8.9945
98784,0.1854,1.594,2.4012,3.0799,4.5888,10.2008
113280,0.2079,1.7965,2.6006,3.4987,5.295,11.3937
128265,0.2351,1.8967,2.8902,4.0002,5.7894,12.4871
145520,0.2638,2.0822,3.1975,3.9637,6.9862,14.3981
163296,0.2969,2.4925,3.581,4.3161,7.3776,15.7905
181792,0.3232,2.7845,3.9932,4.9611,7.9989,17.3952
201600,0.3713,2.8916,4.4815,5.812,9.2877,19.0797
