report_schema_version,case_id,split,hardware_model,cpu_cores,mem_cap_gb,gpu_mode,input_scale,repeat_count,latency_s,latency_mean_s,latency_std_s,predicted_latency_s,residual_s,fitted_predicted_latency_s,fitted_residual_s,resource_config_oof_predicted_latency_s,resource_config_oof_residual_s,max_scale_holdout_predicted_latency_s,max_scale_holdout_residual_s
2,0,out_of_fold_test,cpu,1,2,off,85.000000,5,0.625996000,0.617411800,0.030602839,0.639149773,-0.013153773,0.637020487,-0.011024487,0.639149773,-0.013153773,,
2,1,out_of_fold_test,cpu,1,2,off,170.000000,5,0.918259000,0.919632400,0.048632617,0.922489670,-0.004230670,0.921846493,-0.003587493,0.922489670,-0.004230670,,
2,2,out_of_fold_test,cpu,1,2,off,255.000000,5,1.212500000,1.219224800,0.034267613,1.227410570,-0.014910570,1.227650529,-0.015150529,1.227410570,-0.014910570,,
2,3,out_of_fold_test,cpu,1,2,off,340.000000,5,1.632744000,1.631991800,0.066825303,1.551605274,0.081138726,1.552439602,0.080304398,1.551605274,0.081138726,,
2,4,out_of_fold_test,cpu,1,2,off,425.000000,5,1.868711000,1.898465400,0.089522241,1.895050114,-0.026339114,1.896256346,-0.027545346,1.895050114,-0.026339114,,
2,5,out_of_fold_test,cpu,1,2,off,510.000000,5,2.243148000,2.235591200,0.149927965,2.257806437,-0.014658437,2.259181724,-0.016033724,2.257806437,-0.014658437,2.315580553,-0.072432553
2,6,out_of_fold_test,cpu,1,4,off,85.000000,5,0.705490000,0.674875600,0.055058497,0.626884143,0.078605857,0.637819055,0.067670945,0.626884143,0.078605857,,
2,7,out_of_fold_test,cpu,1,4,off,170.000000,5,0.920029000,0.913235400,0.028627342,0.916399991,0.003629009,0.923002118,-0.002973118,0.916399991,0.003629009,,
2,8,out_of_fold_test,cpu,1,4,off,255.000000,5,1.235412000,1.244387800,0.053774969,1.225641787,0.009770213,1.229189509,0.006222491,1.225641787,0.009770213,,
2,9,out_of_fold_test,cpu,1,4,off,340.000000,5,1.574380000,1.580588200,0.045188752,1.553489430,0.020890570,1.554385737,0.019994263,1.553489430,0.020890570,,
2,10,out_of_fold_test,cpu,1,4,off,425.000000,5,1.904318000,1.951520200,0.103366285,1.900155099,0.004162901,1.898633489,0.005684511,1.900155099,0.004162901,,
2,11,out_of_fold_test,cpu,1,4,off,510.000000,5,2.243957000,2.236273600,0.076137981,2.265764420,-0.021807420,2.262013830,-0.018056830,2.265764420,-0.021807420,2.317657905,-0.073700905
2,12,out_of_fold_test,cpu,1,8,off,85.000000,5,0.624990000,0.637346000,0.030143362,0.643502236,-0.018512236,0.638618623,-0.013628623,0.643502236,-0.018512236,,
2,13,out_of_fold_test,cpu,1,8,off,170.000000,5,0.884518000,0.876131400,0.017777928,0.931809900,-0.047291900,0.924159191,-0.039641191,0.931809900,-0.047291900,,
2,14,out_of_fold_test,cpu,1,8,off,255.000000,5,1.157978000,1.168440200,0.022937501,1.239913043,-0.081935043,1.230730419,-0.072752419,1.239913043,-0.081935043,,
2,15,out_of_fold_test,cpu,1,8,off,340.000000,5,1.516127000,1.511316200,0.056191748,1.566218496,-0.050091496,1.556334312,-0.040207312,1.566218496,-0.050091496,,
2,16,out_of_fold_test,cpu,1,8,off,425.000000,5,1.922638000,1.926675800,0.039174628,1.910875573,0.011762427,1.901013613,0.021624387,1.910875573,0.011762427,,
2,17,out_of_fold_test,cpu,1,8,off,510.000000,5,2.204348000,2.188763000,0.070108917,2.274004257,-0.069656257,2.264849486,-0.060501486,2.274004257,-0.069656257,2.319737120,-0.115389120
2,18,out_of_fold_test,cpu,1,16,off,85.000000,5,0.656367000,0.651050800,0.031939975,0.633796931,0.022570069,0.639419194,0.016947806,0.633796931,0.022570069,,
2,19,out_of_fold_test,cpu,1,16,off,170.000000,5,0.910464000,0.921734200,0.030137199,0.915773925,-0.005309925,0.925317715,-0.014853715,0.915773925,-0.005309925,,
2,20,out_of_fold_test,cpu,1,16,off,255.000000,5,1.314861000,1.343599600,0.077757792,1.218357983,0.096503017,1.232273260,0.082587740,1.218357983,0.096503017,,
2,21,out_of_fold_test,cpu,1,16,off,340.000000,5,1.589754000,1.660669600,0.124888341,1.539545531,0.050208469,1.558285330,0.031468670,1.539545531,0.050208469,,
2,22,out_of_fold_test,cpu,1,16,off,425.000000,5,2.018576000,1.999490800,0.087546720,1.879380838,0.139195162,1.903396720,0.115179280,1.879380838,0.139195162,,
2,23,out_of_fold_test,cpu,1,16,off,510.000000,5,2.304961000,2.343351400,0.065198628,2.237947492,0.067013508,2.267688697,0.037272303,2.237947492,0.067013508,2.321818201,-0.016857201
2,24,out_of_fold_test,cpu,2,2,off,85.000000,5,0.293496000,0.292020400,0.005440826,0.286208897,0.007287103,0.286886994,0.006609006,0.286208897,0.007287103,,
2,25,out_of_fold_test,cpu,2,2,off,170.000000,5,0.416874000,0.414862600,0.007777899,0.418302748,-0.001428748,0.418718932,-0.001844932,0.418302748,-0.001428748,,
2,26,out_of_fold_test,cpu,2,2,off,255.000000,5,0.547784000,0.554369400,0.017700706,0.559933649,-0.012149649,0.560411354,-0.012627354,0.559933649,-0.012149649,,
2,27,out_of_fold_test,cpu,2,2,off,340.000000,5,0.729544000,0.734979200,0.011953516,0.710444300,0.019099700,0.711189330,0.018354670,0.710444300,0.019099700,,
2,28,out_of_fold_test,cpu,2,2,off,425.000000,5,0.892015000,0.889375400,0.003810115,0.869894028,0.022120972,0.871085536,0.020929464,0.869894028,0.022120972,,
2,29,out_of_fold_test,cpu,2,2,off,510.000000,5,1.031312000,1.029728200,0.016389562,1.038326647,-0.007014647,1.040135373,-0.008823373,1.038326647,-0.007014647,1.066168653,-0.034856653
2,30,out_of_fold_test,cpu,2,4,off,85.000000,5,0.284894000,0.280721000,0.005479176,0.287455032,-0.002561032,0.287246635,-0.002352635,0.287455032,-0.002561032,,
2,31,out_of_fold_test,cpu,2,4,off,170.000000,5,0.420305000,0.410145000,0.014374768,0.419114807,0.001190193,0.419243837,0.001061163,0.419114807,0.001190193,,
2,32,out_of_fold_test,cpu,2,4,off,255.000000,5,0.561775000,0.557217000,0.012168072,0.560934250,0.000840750,0.561113885,0.000661115,0.560934250,0.000840750,,
2,33,out_of_fold_test,cpu,2,4,off,340.000000,5,0.707539000,0.711223800,0.027765990,0.712035304,-0.004496304,0.712080875,-0.004541875,0.712035304,-0.004496304,,
2,34,out_of_fold_test,cpu,2,4,off,425.000000,5,0.899409000,0.887953000,0.029777414,0.872427170,0.026981830,0.872177527,0.027231473,0.872427170,0.026981830,,
2,35,out_of_fold_test,cpu,2,4,off,510.000000,5,1.010507000,0.998974800,0.016195194,1.042137852,-0.031630852,1.041439285,-0.030932285,1.042137852,-0.031630852,1.067125133,-0.056618133
2,36,out_of_fold_test,cpu,2,8,off,85.000000,5,0.272755000,0.277294400,0.007016887,0.289021728,-0.016266728,0.287606727,-0.014851727,0.289021728,-0.016266728,,
2,37,out_of_fold_test,cpu,2,8,off,170.000000,5,0.403868000,0.407464800,0.011425005,0.420779803,-0.016911803,0.419769400,-0.015901400,0.420779803,-0.016911803,,
2,38,out_of_fold_test,cpu,2,8,off,255.000000,5,0.547530000,0.543592600,0.007637967,0.562565128,-0.015035128,0.561817296,-0.014287296,0.562565128,-0.015035128,,
2,39,out_of_fold_test,cpu,2,8,off,340.000000,5,0.729525000,0.728103000,0.020593064,0.713503547,0.016021453,0.712973538,0.016551462,0.713503547,0.016021453,,
2,40,out_of_fold_test,cpu,2,8,off,425.000000,5,0.883585000,0.875678400,0.016632089,0.873609489,0.009975511,0.873270887,0.010314113,0.873609489,0.009975511,,
2,41,out_of_fold_test,cpu,2,8,off,510.000000,5,1.021175000,1.018501200,0.015627303,1.042913853,-0.021738853,1.042744831,-0.021569831,1.042913853,-0.021738853,1.068082471,-0.046907471
2,42,out_of_fold_test,cpu,2,16,off,85.000000,5,0.288300000,0.286032000,0.007451561,0.287814167,0.000485833,0.287967270,0.000332730,0.287814167,0.000485833,,
2,43,out_of_fold_test,cpu,2,16,off,170.000000,5,0.429024000,0.433138800,0.010465600,0.419822015,0.009201985,0.420295622,0.008728378,0.419822015,0.009201985,,
2,44,out_of_fold_test,cpu,2,16,off,255.000000,5,0.566251000,0.565107200,0.024977099,0.562061758,0.004189242,0.562521589,0.003729411,0.562061758,0.004189242,,
2,45,out_of_fold_test,cpu,2,16,off,340.000000,5,0.700686000,0.713686200,0.022330771,0.713650748,-0.012964748,0.713867321,-0.013181321,0.713650748,-0.012964748,,
2,46,out_of_fold_test,cpu,2,16,off,425.000000,5,0.893404000,0.879638400,0.030332717,0.874596440,0.018807560,0.874365618,0.019038382,0.874596440,0.018807560,,
2,47,out_of_fold_test,cpu,2,16,off,510.000000,5,1.019353000,1.021359600,0.014735680,1.044926000,-0.025573000,1.044052014,-0.024699014,1.044926000,-0.025573000,1.069040669,-0.049687669
2,48,out_of_fold_test,cpu,4,2,off,85.000000,5,0.128266000,0.127840800,0.001303245,0.129390952,-0.001124952,0.129201727,-0.000935727,0.129390952,-0.001124952,,
2,49,out_of_fold_test,cpu,4,2,off,170.000000,5,0.191119000,0.191277000,0.001216142,0.190325030,0.000793970,0.190189522,0.000929478,0.190325030,0.000793970,,
2,50,out_of_fold_test,cpu,4,2,off,255.000000,5,0.252369000,0.253237800,0.001812406,0.256050323,-0.003681323,0.255822711,-0.003453711,0.256050323,-0.003681323,,
2,51,out_of_fold_test,cpu,4,2,off,340.000000,5,0.328328000,0.327406600,0.002462661,0.326224382,0.002103618,0.325803504,0.002524496,0.326224382,0.002103618,,
2,52,out_of_fold_test,cpu,4,2,off,425.000000,5,0.401165000,0.401521400,0.001464654,0.400856606,0.000308394,0.400151600,0.001013400,0.400856606,0.000308394,,
2,53,out_of_fold_test,cpu,4,2,off,510.000000,5,0.464497000,0.465077800,0.002836105,0.479958873,-0.015461873,0.478882058,-0.014385058,0.479958873,-0.015461873,0.490898749,-0.026401749
2,54,out_of_fold_test,cpu,4,4,off,85.000000,5,0.127137000,0.126304600,0.001634795,0.129563025,-0.002426025,0.129363694,-0.002226694,0.129563025,-0.002426025,,
2,55,out_of_fold_test,cpu,4,4,off,170.000000,5,0.189425000,0.189340400,0.001867490,0.190604514,-0.001179514,0.190427943,-0.001002943,0.190604514,-0.001179514,,
2,56,out_of_fold_test,cpu,4,4,off,255.000000,5,0.249632000,0.250019200,0.001703908,0.256320744,-0.006688744,0.256143410,-0.006511410,0.256320744,-0.006688744,,
2,57,out_of_fold_test,cpu,4,4,off,340.000000,5,0.328631000,0.328082400,0.002450474,0.326401504,0.002229496,0.326211931,0.002419069,0.326401504,0.002229496,,
