cpu_cores,mem_cap_gb,gpu_mode,input_scale,task_param,repeat_idx,warmup,repeat_in_window,latency_s,latency_p50_s,latency_p90_s,latency_p95_s,latency_slow_ratio,latency_app_s,latency_app_p50_s,latency_app_p90_s,latency_app_p95_s,latency_app_slow_ratio,throughput_samples_per_s,model_logical_mflop_per_request_torch_profiler_eager,model_logical_mflops_app_torch_profiler_eager,model_logical_mflops_packet_torch_profiler_eager,compute_profile_error_torch_profiler_eager,gpu_executed_mflop_per_request_ncu,gpu_executed_tensor_mflop_per_request_ncu,gpu_executed_scalar_mflop_per_request_ncu,gpu_executed_tensor_share_pct_ncu,gpu_executed_mflops_app_ncu,gpu_executed_mflops_packet_ncu,gpu_kernel_launch_count_per_request_ncu,gpu_kernel_time_sum_ms_per_request_ncu,compute_profile_error_ncu,gpu_idle_power_w,gpu_idle_measured_at,gpu_idle_rel_range_so_far,gpu_energy_iters,gpu_avg_power_total_w,gpu_peak_power_total_w,gpu_energy_total_j,gpu_avg_power_eff_w,gpu_peak_power_eff_w,gpu_energy_eff_j,cpu_idle_power_w,cpu_idle_measured_at,cpu_idle_rel_range_so_far,cpu_energy_iters,cpu_avg_power_total_w,cpu_peak_power_total_w,cpu_energy_total_j,cpu_avg_power_eff_w,cpu_peak_power_eff_w,cpu_energy_eff_j,vcpu_cpu_share,vcpu_cpu_time_s,vcpu_avg_power_total_w,vcpu_peak_power_total_w,vcpu_energy_total_j,vcpu_avg_power_eff_w,vcpu_peak_power_eff_w,vcpu_energy_eff_j,resource_usage_iters,container_cpu_util_avg_pct,container_cpu_util_peak_pct,cpu_freq_avg_hz,cpu_freq_peak_hz,cpu_cycles_est_app,cpu_cycles_est_packet,cpu_instructions_per_request,cpu_mips_app,cpu_mips_packet,cpu_perf_elapsed_s,container_mem_usage_avg_bytes,container_mem_usage_peak_bytes,container_mem_util_avg_pct,container_mem_util_peak_pct,gpu_util_avg_pct,gpu_util_peak_pct,gpu_mem_used_avg_bytes,gpu_mem_used_peak_bytes,gpu_mem_util_avg_pct,gpu_mem_util_peak_pct,cold_start_s,status,error
1,2,off,85.0,,0,1,15,0.675456,0.696148,0.699522,0.699703,1.000000,0.676756,0.697328,0.700690,0.700911,1.000000,1.480481,19241.826192,28432.442700,28487.164511,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.965118,2026-07-23T17:32:15+08:00,0.000000,206.000000,6.702148,13.920979,4.576859,2.737029,9.955861,1.869102,0.929960,0.683210,5.526860,13.182281,3.774262,3.638983,9.427567,2.485041,206.000000,100.070837,221.138473,2109860078.580097,3785108000.000000,1428872690.739537,1426127159.826588,2695581475.066667,3983.089947,3990.758058,10.158083,553567917.980582,588595200.000000,25.777515,27.408600,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,85.0,,1,1,15,0.694454,0.694275,0.799241,0.898219,1.000000,0.695728,0.695651,0.800477,0.899372,1.000000,1.439980,19241.826192,27657.110526,27707.848456,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.918132,2026-07-23T17:33:11+08:00,0.011921,212.000000,6.679854,14.248292,4.689477,2.761722,10.330160,1.938820,0.931369,0.702873,5.108367,14.248292,3.586241,3.240901,10.330160,2.275219,212.000000,100.132676,259.399189,2006011772.110849,3808330000.000000,1397490362.378303,1394931185.856796,2695740602.333333,3874.704428,3881.813054,10.441980,616813896.452830,632651776.000000,28.722635,29.460144,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,85.0,,0,0,16,0.625996,0.600939,0.689302,0.797420,1.000000,0.627280,0.602168,0.690696,0.798605,1.000000,1.597454,19241.826192,30675.019436,30737.937929,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.969410,2026-07-23T17:34:08+08:00,0.012979,204.000000,6.914163,16.167123,4.376139,2.944753,12.197713,1.863805,0.933981,0.635691,5.213413,14.199253,3.299694,3.322221,10.395239,2.102714,204.000000,100.450409,234.757469,1569620239.276961,3781820000.000000,989026277.441789,987001602.003104,2684170327.250000,4279.061616,4287.839423,10.041460,632647880.784314,634617856.000000,29.459963,29.551697,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,85.0,,1,0,16,0.631280,0.600856,0.788323,0.893814,1.000000,0.632574,0.602261,0.789564,0.894966,1.000000,1.584083,19241.826192,30418.300771,30480.652313,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.948897,2026-07-23T17:35:04+08:00,0.012981,206.000000,6.802955,14.820455,4.344371,2.854058,10.871558,1.822603,0.934036,0.641566,5.163827,14.129673,3.297623,3.290733,10.364834,2.101464,206.000000,100.478904,287.371243,1481572754.550971,3773400000.000000,941692852.110020,939766376.537459,2664753869.125000,4212.556121,4221.191657,10.127328,632942830.601942,635146240.000000,29.473697,29.576302,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,85.0,,2,0,16,0.662765,0.623313,0.791972,0.799216,1.000000,0.664189,0.624808,0.793432,0.800358,1.000000,1.508830,19241.826192,28970.407809,29032.652889,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.927693,2026-07-23T17:36:01+08:00,0.012995,216.000000,6.779637,15.631499,4.545359,2.851944,11.703806,1.912066,0.931845,0.672093,5.174657,14.118564,3.469312,3.313934,10.257956,2.221803,216.000000,100.259959,334.949420,1561205580.150463,3776591000.000000,1039631537.677292,1037402244.378785,2676327869.187500,4029.465942,4038.124930,10.633112,632914944.000000,633511936.000000,29.472399,29.500198,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,85.0,,3,0,18,0.577989,0.595335,0.600923,0.624536,1.000000,0.579186,0.596498,0.602124,0.625787,1.000000,1.730137,19241.826192,33222.188023,33290.990299,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.978067,2026-07-23T17:36:58+08:00,0.015169,212.000000,7.061977,15.731414,4.127783,3.083910,11.753346,1.802571,0.929689,0.587254,5.314349,15.230297,3.106280,3.432238,11.378949,2.006171,212.000000,100.483063,265.530583,1527482690.448113,3802338000.000000,888969635.232290,887133002.347452,2665505588.722222,4602.161260,4611.689130,10.431357,634100079.094340,636039168.000000,29.527586,29.617882,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,85.0,,4,0,17,0.589029,0.598572,0.622946,0.686288,1.000000,0.590285,0.599735,0.624208,0.687712,1.000000,1.697709,19241.826192,32597.518473,32667.026907,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.915435,2026-07-23T17:37:54+08:00,0.015872,204.000000,6.978689,14.198209,4.158011,3.063254,10.282774,1.825134,0.929232,0.600721,5.164173,13.773777,3.076894,3.314246,9.888960,1.974679,204.000000,100.827761,383.733087,1431421825.061275,3778558000.000000,851941305.203043,850128224.508075,2665533724.705883,4515.670692,4525.301343,10.040030,635473116.862745,636977152.000000,29.591523,29.661560,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,170.0,,0,1,11,0.985600,0.995655,0.998907,1.158134,1.000000,0.986921,0.997044,1.000064,1.159361,1.000000,1.014610,38582.368512,39093.674683,39146.071948,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.865216,2026-07-23T17:38:56+08:00,0.028672,220.000000,6.851995,14.625857,6.817563,2.986779,10.760641,2.971770,0.926847,0.997625,5.536954,13.971682,5.509130,3.695548,10.279347,3.676978,220.000000,100.278890,214.384048,2170678751.420455,3790737000.000000,2148262294.112440,2145387608.563872,5071112471.454545,5138.318387,5145.203400,10.860781,703846977.163636,709664768.000000,32.775429,33.046341,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,170.0,,1,1,12,0.884703,0.891918,0.899285,1.035489,1.000000,0.885939,0.893257,0.900486,1.036738,1.000000,1.130323,38582.368512,43549.689665,43610.532023,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.945941,2026-07-23T17:39:53+08:00,0.028664,216.000000,7.001024,14.712685,6.255479,3.055083,10.766744,2.729744,0.920701,0.896149,5.294984,14.013981,4.731116,3.441712,10.139106,3.075201,216.000000,100.308760,224.779772,1618495680.555556,3774611000.000000,1438315839.290309,1436309081.414171,5069046231.916667,5721.664618,5729.658690,10.637083,729215260.444444,750272512.000000,33.956732,34.937286,nan,nan,nan,nan,nan,nan,3.117,ok,
1,2,off,170.0,,0,0,12,0.875173,0.892009,0.897579,1.017713,1.000000,0.876544,0.893235,0.899101,1.019245,1.000000,1.142631,38582.368512,44016.465245,44085.419125,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.840690,2026-07-23T17:40:50+08:00,0.034979,214.000000,7.076222,17.428613,6.263652,3.235532,13.587922,2.863992,0.929114,0.885756,5.337468,15.502827,4.724561,3.519729,12.086516,3.115555,214.000000,100.078373,409.250543,1617791851.051402,3776286000.000000,1419177445.996748,1416957390.015482,5022094011.500000,5729.424724,5738.401449,10.524429,756490603.663551,760307712.000000,35.226839,35.404587,nan,nan,nan,nan,nan,nan,3.117,ok,
