timestamp_ms,model_name,cpu_cores,gpu_mode,cuda_available,gpu_name,mem_cap_gb,batch_size,max_length,input_len_tokens,repeat_idx,warmup,latency_ms,tokens_per_s_est,idle_power_w,avg_power_w,peak_power_w,energy_j,status,error
1770004039400,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,0,0,36.681,6979.011,49.311,39.007,78.013,0.884308,ok,
1770004040449,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,1,0,56.764,4509.891,49.548,37.721,60.652,2.026975,ok,
1770004041537,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,2,0,44.615,5738.038,44.195,18.735,37.471,0.425771,ok,
1770004042599,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,3,0,45.548,5620.449,37.5,36.723,50.249,1.203322,ok,
1770004043672,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,4,0,44.014,5816.366,36.877,22.624,45.248,0.52044,ok,
1770004051589,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,0,0,55.94,9152.717,42.931,61.71,101.24,3.062893,ok,
1770004052668,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,1,0,56.516,9059.354,41.542,62.493,101.879,3.127029,ok,
1770004053747,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,2,0,56.585,9048.323,41.535,62.744,102.928,3.148725,ok,
1770004054834,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,3,0,55.954,9150.338,41.388,62.56,102.012,3.095172,ok,
1770004055919,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,4,0,55.884,9161.815,42.026,64.069,104.103,3.176001,ok,
1770004063619,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,0,0,69.412,11064.408,49.765,95.596,154.834,4.843358,ok,
1770004064701,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,1,0,71.042,10810.497,51.154,109.189,157.694,8.313613,ok,
1770004065805,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,2,0,69.477,11054.043,48.2,96.714,156.631,5.01522,ok,
1770004066887,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,3,0,69.343,11075.441,50.62,106.13,153.758,8.200973,ok,
1770004067999,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,4,0,69.671,11023.176,48.154,98.068,157.355,5.344591,ok,
1770004075647,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,0,0,89.213,11478.131,55.109,133.925,193.683,9.963903,ok,
1770004076740,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,1,0,89.718,11413.557,55.631,133.186,192.583,9.938745,ok,
1770004077843,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,2,0,89.391,11455.323,56.752,134.812,194.414,10.07322,ok,
1770004078951,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,3,0,88.53,11566.692,56.173,137.528,199.625,10.207009,ok,
1770004080058,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,4,0,89.293,11467.894,54.188,134.165,194.528,10.35168,ok,
1770004087984,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,0,0,110.969,11534.796,57.509,155.189,208.469,16.146362,ok,
1770004089104,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,1,0,115.719,11061.316,50.727,144.504,194.545,14.500008,ok,
1770004090224,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,2,0,110.914,11540.449,56.2,153.101,207.295,15.833457,ok,
1770004091364,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,3,0,111.194,11511.423,55.222,156.47,214.174,16.406276,ok,
1770004092492,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,4,0,112.848,11342.687,51.49,142.488,190.245,14.129703,ok,
1770004100589,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,0,0,151.435,10142.988,54.324,161.026,201.939,23.969244,ok,
1770004101764,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,1,0,151.34,10149.364,54.999,160.871,202.709,23.917589,ok,
1770004102948,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,2,0,151.858,10114.706,55.178,160.184,195.685,23.238193,ok,
1770004104121,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,3,0,151.512,10137.785,55.243,159.424,198.852,23.437518,ok,
1770004105298,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,4,0,151.782,10119.775,56.603,159.511,197.699,23.146383,ok,
