timestamp_ms,model_name,cpu_cores,gpu_mode,cuda_available,gpu_name,mem_cap_gb,batch_size,max_length,input_len_tokens,repeat_idx,warmup,latency_ms,tokens_per_s_est,avg_power_w,peak_power_w,energy_j,status,error
1769905870771,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,0,0,42.245,6059.867,50.905,80.394,13.038678,ok,
1769905871091,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,1,0,42.631,6005.066,43.623,74.696,11.930588,ok,
1769905871412,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,2,0,43.277,5915.444,43.544,73.604,11.882524,ok,
1769905871733,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,3,0,43.017,5951.082,43.575,73.629,11.894357,ok,
1769905872054,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,256,256,4,0,42.561,6014.855,43.529,73.519,11.874894,ok,
1769905878871,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,0,0,54.699,9360.286,68.539,106.08,17.030507,ok,
1769905879190,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,1,0,54.764,9349.161,57.76,109.8,15.49365,ok,
1769905879511,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,2,0,54.716,9357.472,57.69,109.161,15.451223,ok,
1769905879831,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,3,0,55.716,9189.533,57.364,106.062,15.356659,ok,
1769905880152,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,512,512,4,0,55.673,9196.499,57.767,106.257,15.405256,ok,
1769905887030,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,0,0,68.886,11148.809,100.682,186.889,23.318687,ok,
1769905887352,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,1,0,69.0,11130.434,88.645,205.059,21.413318,ok,
1769905887674,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,2,0,69.052,11122.094,88.682,204.989,21.436074,ok,
1769905887994,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,3,0,70.464,10899.236,81.786,203.832,27.870642,ok,
1769905888367,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,768,768,4,0,69.464,11056.054,89.798,205.499,22.121621,ok,
1769905895492,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,0,0,87.894,11650.37,123.048,249.179,38.495025,ok,
1769905895867,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,1,0,88.384,11585.819,96.923,243.566,33.082341,ok,
1769905896241,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,2,0,88.048,11630.022,95.478,248.738,32.095943,ok,
1769905896614,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,3,0,88.971,11509.32,93.939,239.766,31.72796,ok,
1769905896992,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1024,1024,4,0,88.387,11585.35,97.993,250.952,33.103355,ok,
1769905904138,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,0,0,110.937,11538.068,128.024,245.458,38.069257,ok,
1769905904510,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,1,0,111.589,11470.669,104.957,243.822,33.079695,ok,
1769905904880,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,2,0,110.58,11575.333,104.705,251.496,34.944148,ok,
1769905905257,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,3,0,109.394,11700.791,109.71,256.587,36.158843,ok,
1769905905629,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1280,1280,4,0,109.7,11668.19,108.068,255.286,35.815439,ok,
1769905912934,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,0,0,150.139,10230.497,135.894,250.23,49.850799,ok,
1769905913360,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,1,0,150.66,10195.155,116.422,251.744,46.290116,ok,
1769905913786,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,2,0,151.126,10163.711,116.111,241.359,46.333461,ok,
1769905914215,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,3,0,150.061,10235.845,118.042,248.152,46.817536,ok,
1769905914643,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1536,1536,4,0,150.142,10230.335,119.66,253.326,47.610647,ok,
1769905921944,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1792,1792,0,0,178.242,10053.736,145.84,252.456,62.789672,ok,
1769905922424,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1792,1792,1,0,176.772,10137.373,139.712,254.578,51.92899,ok,
1769905922852,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1792,1792,2,0,177.47,10097.469,139.495,251.346,51.28731,ok,
1769905923281,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1792,1792,3,0,177.889,10073.691,125.239,250.24,57.234058,ok,
1769905923760,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,1792,1792,4,0,177.672,10086.006,125.772,248.69,57.33531,ok,
1769905931236,/root/autodl-tmp/jina_resource_matrix/models/jina-embeddings-v3,8,on,True,Tesla V100S-PCIE-32GB,16,1,2048,2048,0,0,205.996,9941.962,149.573,248.731,64.853349,ok,
