Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.1611,1.2004,1.7903,2.392,3.6558,7.7473
2016,0.1568,1.2184,1.7949,2.3963,3.9026,7.8126
4512,0.1559,1.2219,1.7922,2.4023,4.0963,8.0969
8064,0.1615,1.2772,1.7969,2.405,3.9049,6.296
12560,0.1556,1.3096,1.8013,2.4972,4.1802,6.0961
18144,0.1625,1.3246,1.8062,2.5053,4.0176,6.3012
24640,0.1675,1.3478,1.8529,2.4977,4.0031,7.1105
31877,0.1669,1.375,1.8622,2.5986,4.2005,7.8742
40752,0.1728,1.3774,1.9024,2.5996,3.8994,8.2271
49926,0.1681,1.3889,1.9026,2.5993,4.0065,8.0676
60550,0.1713,1.3991,1.9032,2.6024,4.1012,8.0067
72576,0.1728,1.3999,1.9137,2.6027,3.9954,8.0887
85072,0.1804,1.4047,2.0164,2.6047,3.9883,8.0356
98784,0.1826,1.4152,2.0588,2.6053,4.2245,7.8857
113280,0.1892,1.4223,2.1032,2.611,3.9025,8.118
128265,0.1972,1.462,2.1086,2.7053,4.0736,7.9677
145520,0.1992,1.4746,2.1139,2.7137,4.0432,8.0439
163296,0.2081,1.498,2.1857,2.7644,4.0825,7.9486
181792,0.6307,4.7471,6.9969,8.6133,13.4354,28.046
201600,0.597,4.9378,7.0891,8.6202,13.3184,28.4411
