Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.1477,2.3841,3.5692,4.6611,7.5822,14.922
2016,0.145,2.3987,3.5978,4.6965,7.3212,14.8989
4512,0.1485,2.4051,3.6029,4.7048,7.4995,15.1188
8064,0.1432,2.4027,3.6234,4.7111,7.701,15.1009
12560,0.151,2.4479,3.6913,4.7095,7.5078,14.8988
18144,0.1512,2.4658,3.6965,4.799,7.3916,14.5959
24640,0.1511,2.4853,3.6881,4.8947,7.3015,14.7983
31877,0.1533,2.4878,3.6991,4.8949,7.3078,14.8052
40752,0.1559,2.4889,3.7042,4.8847,7.399,14.4063
49926,0.1567,2.4938,3.7202,4.8982,7.3031,14.9999
60550,0.1579,2.4996,3.7858,4.9025,7.3863,14.789
72576,0.1742,2.5005,3.7996,4.9044,7.5201,15.0226
85072,0.1688,2.5038,3.7907,4.9048,7.5727,14.4978
98784,0.1834,2.5122,3.8078,4.9115,7.4435,14.5953
113280,0.1825,2.5141,3.8103,4.9271,7.3492,14.5982
128265,0.1854,2.523,3.9041,4.9949,7.4133,14.8547
145520,0.1903,2.5768,3.9301,4.9976,7.451,14.7455
163296,0.2038,2.6011,3.9987,4.9992,7.6129,14.7056
181792,0.6464,8.343,11.5205,15.1031,24.1097,53.4266
201600,0.6186,8.5925,11.7957,15.2239,23.4781,53.2704
