Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.0846,0.0847,0.0854,0.0925,0.0862,0.0862
2016,0.1025,0.0888,0.0904,0.0872,0.0875,0.0869
4512,0.0959,0.0859,0.0918,0.0895,0.0856,0.0969
8064,0.0969,0.0875,0.0886,0.0952,0.0985,0.0941
12560,0.0904,0.0906,0.0906,0.093,0.0928,0.0884
18144,0.092,0.0936,0.0908,0.0997,0.0938,0.0915
24640,0.0929,0.0939,0.1014,0.0942,0.0955,0.1053
31877,0.0957,0.0968,0.0983,0.1004,0.097,0.1041
40752,0.1059,0.0992,0.1019,0.0993,0.0995,0.101
49926,0.1076,0.1061,0.1195,0.1017,0.1049,0.1052
60550,0.1065,0.1074,0.1078,0.1172,0.1051,0.1076
72576,0.1235,0.1205,0.115,0.1094,0.1158,0.1127
85072,0.1227,0.1169,0.126,0.1191,0.1177,0.1236
98784,0.1208,0.1236,0.1245,0.1227,0.1234,0.1229
113280,0.1283,0.1285,0.1295,0.1304,0.1288,0.1295
128265,0.1345,0.1356,0.1341,0.1339,0.1306,0.1394
145520,0.1504,0.1402,0.1506,0.1429,0.1432,0.1407
163296,0.1488,0.1513,0.1529,0.1483,0.1555,0.1575
181792,0.1555,0.1541,0.1582,0.1554,0.1558,0.162
201600,0.1629,0.1635,0.1616,0.1715,0.1736,0.1767
