Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.0733,0.0725,0.0753,0.0768,0.0749,0.0812
2016,0.0736,0.0773,0.0764,0.0785,0.0751,0.0831
4512,0.0746,0.0774,0.0779,0.0806,0.0771,0.0849
8064,0.0748,0.0784,0.0783,0.0817,0.0785,0.0858
12560,0.0754,0.0785,0.0794,0.0821,0.0786,0.0863
18144,0.0754,0.0787,0.0804,0.0822,0.0802,0.0871
24640,0.0766,0.0789,0.0806,0.0833,0.0817,0.0875
31877,0.0772,0.0824,0.0831,0.0843,0.0822,0.0882
40752,0.0778,0.0826,0.0834,0.0854,0.0831,0.0883
49926,0.078,0.0832,0.0838,0.0855,0.0842,0.089
60550,0.0781,0.0843,0.0841,0.0856,0.0846,0.0892
72576,0.0783,0.0848,0.0841,0.0857,0.0846,0.0898
85072,0.0794,0.0868,0.0846,0.0862,0.0861,0.0901
98784,0.0799,0.0872,0.085,0.0867,0.0864,0.0904
113280,0.082,0.0879,0.0857,0.0882,0.0883,0.0907
128265,0.0822,0.0879,0.086,0.0885,0.0886,0.0912
145520,0.0823,0.0915,0.0862,0.0904,0.0895,0.0919
163296,0.0834,0.0927,0.0875,0.0907,0.0924,0.092
181792,0.0888,0.0949,0.089,0.0915,0.0932,0.093
201600,0.0975,0.1082,0.0928,0.0917,0.0941,0.0932
